user,user location,user created at,tweet text,tweet created at
jnalyn_13,uae,2011-07-11 21:25:01,"RT @EmiratesNBD: Entry is free at the Viewing Party, Jumeirah Mina A'Salam from 14th June till 15th July
Use your Emirates NBD Visa cards a…",2018-07-01 16:44:20
kattykatty1819,,2016-08-07 01:58:52,"RT @carlosramirezl3: La fiscal de la CPI FATOU BENSOUDA y su marido PHILIP BENSOUDA intentaron cobrar ""honorarios"" por 16 millones de dólar…",2018-07-01 14:03:20
lreyesv,,2009-07-09 21:29:43,"RT @combatiente21: Rt@carlosramirezl3 

La fiscal de la #CPI FATOU BENSOUDA y su marido PHILIP BENSOUDA intentaron cobrar ""honorarios"" por…",2018-07-01 13:55:37
DGuerra_99,Caracas - Venezuela,2009-10-01 22:32:07,"RT @combatiente21: Rt@carlosramirezl3 

La fiscal de la #CPI FATOU BENSOUDA y su marido PHILIP BENSOUDA intentaron cobrar ""honorarios"" por…",2018-07-01 11:27:39
Caridad99820488,,2017-07-31 17:35:36,"RT @carlosramirezl3: La fiscal de la CPI FATOU BENSOUDA y su marido PHILIP BENSOUDA intentaron cobrar ""honorarios"" por 16 millones de dólar…",2018-07-01 10:41:13
ENBDdeals,United Arab Emirates,2012-12-03 13:57:04,"Entry is free at the Viewing Party, Jumeirah Mina A'Salam from 14th June till 15th July
Use your Emirates NBD Visa… https://t.co/HJjvE9lEnt",2018-07-01 10:40:00
EmiratesNBD,United Arab Emirates,2012-06-10 13:23:44,"Entry is free at the Viewing Party, Jumeirah Mina A'Salam from 14th June till 15th July
Use your Emirates NBD Visa… https://t.co/SN2qwziN5x",2018-07-01 10:40:00
JumaniNaveed,Pakistan,2014-08-14 06:38:05,@bitoasis do you accept transfers from emirates nbd ?,2018-07-01 06:56:55
EmiratesNBD,United Arab Emirates,2012-06-10 13:23:44,"@simonk2me Hi Simon , we would like to inform you that the dispute take more time because it is not only from Emira… https://t.co/VfxuXjP47u",2018-07-01 06:23:51
xavierarul,Dubai,2010-07-11 15:34:34,"@EmiratesNBD We don’t have Apple Watch application for Emirates NBD, as a part of digital banking, will you develop… https://t.co/7lxcG9JqmK",2018-07-01 06:19:20
